PASS
ok  	github.com/olekukonko/tablewriter	0.281s
?   	github.com/olekukonko/tablewriter/cmd/csv2table	[no test files]
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	80468055	        14.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	80998987	        14.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	81043209	        14.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	81015852	        14.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	80793798	        14.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	80636354	        14.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8   	  550022	      2166 ns/op	     548 B/op	       8 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8   	  563559	      2159 ns/op	     548 B/op	       8 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8   	  564620	      2130 ns/op	     548 B/op	       8 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8   	  562633	      2150 ns/op	     549 B/op	       8 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8   	  563062	      2125 ns/op	     548 B/op	       8 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8   	  566050	      2122 ns/op	     550 B/op	       8 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	  488254	      2594 ns/op	    1009 B/op	      10 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	 1000000	      1452 ns/op	     573 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	 6953605	      2392 ns/op	     839 B/op	       9 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	 6421988	       212.8 ns/op	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	 6210837	       217.7 ns/op	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	 6160369	       215.7 ns/op	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	73860734	        15.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	76232425	        15.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	76141527	        15.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	76165087	        15.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	77430384	        15.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	76316254	        15.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	  497377	      2311 ns/op	     549 B/op	       8 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	  519349	      2349 ns/op	     549 B/op	       8 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	  516823	      2306 ns/op	     548 B/op	       8 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	  518696	      2314 ns/op	     549 B/op	       8 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	  518889	      2305 ns/op	     549 B/op	       8 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	  521011	      2307 ns/op	     548 B/op	       8 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	  445960	      2831 ns/op	     949 B/op	      10 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	 1000000	      1718 ns/op	     638 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	 6654535	      2672 ns/op	     832 B/op	       9 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	 6506708	       214.5 ns/op	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	 6271773	       219.8 ns/op	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	 6202339	       220.1 ns/op	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	73319754	        15.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	75911929	        15.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	76482240	        15.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	76174554	        15.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	76312818	        15.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	76188056	        15.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	   66765	     17769 ns/op	    8487 B/op	       6 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	   67670	     17738 ns/op	    8494 B/op	       6 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	   67639	     17815 ns/op	    8489 B/op	       6 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	   67371	     17746 ns/op	    8483 B/op	       6 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	   67593	     17736 ns/op	    8483 B/op	       6 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	   67053	     17755 ns/op	    8492 B/op	       6 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	   66026	     15740 ns/op	    7883 B/op	       7 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	 1000000	     17314 ns/op	    8604 B/op	       7 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	 3427911	     13194 ns/op	    6596 B/op	       6 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	 3432019	       408.3 ns/op	     594 B/op	       2 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	 3541000	       966.7 ns/op	     853 B/op	       2 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	 3448207	       396.7 ns/op	     583 B/op	       1 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	51434355	        23.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	51364822	        23.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	51393055	        23.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	51608924	        23.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	51353557	        23.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	51808810	        23.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	   52644	     22613 ns/op	    8497 B/op	       6 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	   53042	     22590 ns/op	    8488 B/op	       6 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	   53106	     22602 ns/op	    8498 B/op	       6 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	   52954	     22619 ns/op	    8491 B/op	       6 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	   53121	     22750 ns/op	    8494 B/op	       6 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	   52837	     22621 ns/op	    8502 B/op	       6 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8    	  263143	     17772 ns/op	    7084 B/op	       6 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8    	 1000000	     17410 ns/op	    6911 B/op	       6 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8    	 3483106	     16730 ns/op	    6638 B/op	       6 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8    	 3452732	       394.8 ns/op	     583 B/op	       1 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8    	 3450884	       396.9 ns/op	     583 B/op	       1 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8    	 3493123	       469.5 ns/op	     608 B/op	       2 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8     	51375085	        23.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8     	51283510	        23.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8     	51194902	        23.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8     	51514858	        23.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8     	51454482	        23.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8     	51540670	        23.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_NoCache-8   	   18582	     63687 ns/op	    5985 B/op	      12 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_NoCache-8   	   18859	     63416 ns/op	    5983 B/op	      12 allocs/op
