goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	 1000000	      1357 ns/op	  64.12 MB/s	     603 B/op	       7 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	 6668143	      1226 ns/op	  70.93 MB/s	     465 B/op	       7 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	 6533484	       219.6 ns/op	 396.17 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	 6301395	       219.6 ns/op	 396.24 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	 6299097	       219.1 ns/op	 397.15 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	 6316515	       220.1 ns/op	 395.30 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	75632632	        15.84 ns/op	5491.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	77003905	        15.70 ns/op	5541.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	76346197	        15.99 ns/op	5441.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	75986436	        15.70 ns/op	5540.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	76385882	        15.68 ns/op	5548.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	76195917	        15.69 ns/op	5544.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	 1201459	       997.1 ns/op	  87.26 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	 1203777	      1006 ns/op	  86.48 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	 1000000	      1021 ns/op	  85.18 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	 1000000	      1018 ns/op	  85.44 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	 1000000	      1016 ns/op	  85.67 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	 1000000	      1007 ns/op	  86.42 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	 1000000	      1367 ns/op	  63.64 MB/s	     603 B/op	       7 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	 6772869	      1255 ns/op	  69.30 MB/s	     465 B/op	       7 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	 5856351	       226.6 ns/op	 384.01 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	 6178044	       220.4 ns/op	 394.71 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	 6305894	       223.7 ns/op	 388.92 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	 6469153	       218.7 ns/op	 397.77 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	75678146	        15.78 ns/op	5511.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	76297048	        15.74 ns/op	5528.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	75767539	        15.72 ns/op	5534.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	76115766	        15.93 ns/op	5461.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	70403252	        16.20 ns/op	5370.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	74857690	        16.11 ns/op	5399.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	  246666	      4565 ns/op	 118.29 MB/s	    1179 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	  264949	      4572 ns/op	 118.10 MB/s	    1182 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	  262236	      4672 ns/op	 115.59 MB/s	    1180 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	  265879	      4590 ns/op	 117.65 MB/s	    1181 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	  264118	      4534 ns/op	 119.11 MB/s	    1181 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	  265098	      4573 ns/op	 118.08 MB/s	    1181 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	  247066	      5003 ns/op	 107.94 MB/s	    1870 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	 1000000	      4024 ns/op	 134.20 MB/s	    1589 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	 3365314	      3821 ns/op	 141.32 MB/s	    1455 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	 3397921	       574.2 ns/op	 940.36 MB/s	     595 B/op	       2 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	 3313190	       338.5 ns/op	1595.36 MB/s	     583 B/op	       1 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	 3796500	      1060 ns/op	 509.46 MB/s	     780 B/op	       2 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	51886190	        23.64 ns/op	22842.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	50775381	        23.58 ns/op	22904.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	51265618	        24.21 ns/op	22308.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	51480879	        23.24 ns/op	23237.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	51632518	        23.23 ns/op	23244.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	51878991	        24.25 ns/op	22266.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	  262430	      4541 ns/op	 118.92 MB/s	    1182 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	  260877	      4715 ns/op	 114.53 MB/s	    1181 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	  263697	      4574 ns/op	 118.06 MB/s	    1180 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	  263574	      4548 ns/op	 118.74 MB/s	    1181 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	  261321	      4613 ns/op	 117.05 MB/s	    1182 B/op	       3 allocs/op
