goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8          	 6426262	       220.5 ns/op	 394.62 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8          	 6449049	       219.6 ns/op	 396.14 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8          	 6402313	       219.8 ns/op	 395.80 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8           	75410833	        15.78 ns/op	5514.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8           	76219710	        16.26 ns/op	5351.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8           	76296040	        15.75 ns/op	5524.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8           	77478087	        15.79 ns/op	5509.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8           	75895528	        15.72 ns/op	5534.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8           	76303317	        15.72 ns/op	5532.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8             	  241203	      4996 ns/op	 108.08 MB/s	    1179 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8             	  241513	      4952 ns/op	 109.06 MB/s	    1178 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8             	  243352	      4901 ns/op	 110.18 MB/s	    1179 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8             	  244105	      4906 ns/op	 110.07 MB/s	    1180 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8             	  245130	      4921 ns/op	 109.74 MB/s	    1179 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8             	  243990	      4898 ns/op	 110.24 MB/s	    1178 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8           	  231763	      5212 ns/op	 103.62 MB/s	    1845 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8           	 1000000	      4342 ns/op	 124.35 MB/s	    1614 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8           	 3591081	      4069 ns/op	 132.70 MB/s	    1498 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8           	 3742213	       652.7 ns/op	 827.32 MB/s	     671 B/op	       2 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8           	 3784131	       417.4 ns/op	1293.81 MB/s	     605 B/op	       2 allocs/op
